ご利用日,データ処理日,ご利用内容,金額,海外通貨利用金額,換算レート
2025/04/20,2025/04/21,KABUSHIKIGAISYA SPINS,"14,940",,
2025/04/20,2025/04/20,基本カード年会費,"12,000",,
2025/04/20,2025/04/20,消費税,"1,200",,
2025/04/18,2025/04/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/04/17,2025/04/18,UDEMYJP,"1,500",,
2025/04/10,2025/04/11,UDEMYJP,"12,000",,
2025/04/10,2025/04/10,前回分口座振替金額,-448,,
2025/04/07,2025/04/08,GOOGLE *GOOGLE ONE,290,,
2025/03/18,2025/03/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/03/10,2025/03/10,前回分口座振替金額,-448,,
2025/03/05,2025/03/08,GOOGLE *GOOGLE ONE,250,,
2025/02/18,2025/02/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/02/10,2025/02/10,前回分口座振替金額,"-33,010",,
2025/02/05,2025/02/08,GOOGLE *GOOGLE ONE,250,,
2025/01/18,2025/01/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/01/13,2025/01/13,第三者による不正使用分の調整,"-1,020",,
2025/01/11,2025/01/11,KABUSHIKIGAISYA SPINS,"30,000",,
2025/01/10,2025/01/10,前回分口座振替金額,"-35,288",,
2025/01/05,2025/01/08,GOOGLE *GOOGLE ONE,250,,
